én,私
halfarkas,盗賊かもめ
gargarizálószer,うがい薬
fantáziadúsan,幻想的に 
iskolai élet ,学園生活 
trónus ,王座 
egy kötet,一冊 
jobbanmondva,言い換えると
exhibicionista,自己顕示欲の強い 
délelőtt,昼前 
kürtöl,クラクションを鳴らす 
merev,ごわごわしている 
filozófia,哲学 
kurjongatás,喜びの声 
elsőként induló ,始発の 
burleszk,コメディー 
dublőr,替え玉 
mostanság,昨今 
tanulói viszony igazolása ,在学証明書 
sötétítőfüggöny,遮光カーテン 
fogvédő,マウスピース
pózna,柱 
felindulás,思いつき
mangnitúdó,マグニチュード 
karbamid,尿素
olaj,オイル 
feltaláló,発明家 
ügyintézés,事務手続き 
rábeszélés,説得 
vízumkérelem,ビザの申請 
összefoglalás,集約 
zikavírus,ジカウイルス 
járműhasználat,乗り物の利用 
snap borsó ,スナップエンドウ 
játékterem,ゲームセンター 
közismertség,著名 
visszatüzel,応戦する 
permanens,永久の 
mozgástér,余裕 
léghajó,飛行船 
limonádé,レモネード 
tepsi,オーブン皿 
opportunizmus,迎合主義 
segély,助成金 
méhészet,養蜂場 
síp,ホイッスル 
bajba jutott ember,遭難者 
viszonzatlan szerelmet érez ,片想いする 
bolgár,ブルガリア人 
mondvacsinált vád ,言いがかり
indukált pluripotens őssejt,新型万能細胞
április,卯月 
szellentés,おなら 
rugalmasság,弾力 
törvényen kívüli , 非合法
akkor (ha úgy van,それだったら
családi költségvetést nyilvántartó füzet ,家計簿 
zugkereskedelem,闇商売 
fegyház,刑務所 
alkalmazott,使用人 
benne van ,入っている 
Minato kerület ,港区 
acél,鋼鉄 
konstrukció,設計 
piton,にしきへび
forrásadó,源泉課税 
falánk,大食いの 
fülledt klíma ,高温多湿気候 
bikini,ビキニ 
riasztó,驚くような 
uralkodóház,王朝 
gnú,ヌー 
lúgosság,アルカリ性 
felhozatal,市場の商品
rettenthetetlenség,尻込みしないこと
árucsere,物資交換 
nevelési,子育ての 
hátulra,うしろに (後ろへ)
távíróoszlop,電信柱 
illatosító,芳香剤 
cseppfolyós,液状の 
naív,考えが甘い 
nem akaródzik ,する気になれない 
különszám,号外 
filmsztár,映画スター 
szállítólevél,運送状 
furcsaság,奇妙 
felhevült,加熱した 
szív-tüdő,心肺 
hidegség,冷たさ 
fénylés,艶 
piríott,炒めた 
számozás,番号の割り当て 
kétéltű,水陸両用 
villamosablak,路面電車の車窓 
vámtarifa,関税率 
viadal,トーナメント 
tütü,ぷっぷー 
lassú menet ,徐行 
harmónia,和気あいあい
kameruni,カメルーンの 
kotyog,ぶくぶく言う 
dekódolás,復号 
igenév,動詞形 
hegy mélye ,山奥 
vízenergia,水力エネルギー 
ködösít,曖昧な嘘を付く 
vízjel,透かし 
rimánkodás,懇願 
puhatolódzás,打診 
tanulmányozás,検討 
dalszerző,作曲家 
Gaia,ガイア (大地の女神) 
takarózik,布団を掛ける 
napfürdőzik,ひなたぼっこをする
hazai bázis ,本塁 
gyomorsavtúltengés ,胃酸過多症
követési távolság ,車間距離 
humanizmus ,人道主義 
út menti ,道路沿いの 
becsapás,詐欺 
integrál,積分の計算をする 
nyájas,調子のいい 
mindketten fiúk ,男同士 
intézet,学院 
proverbium,代動詞 
arisztokrácia,貴族階級 
szikla,岩
lankás,なめらかに傾斜した 
center,センター 
fogda,監獄 
felkínálás,提供 
kőtiszafa,まき
cseveg,雑談する 
szeminárium,ゼミ 
űrbázis,宇宙基地 
megunás ideje ,倦怠期 
kézfogás ,握手 
megpróbáltatás,難儀 
ár,代償 
Biblia,聖書 
aknavető,バズーカ 
párhuzamos,平行の 
bérbeadási díj ,貸し賃
ingujj ,シャツの袖 
vékonyra vágott ,細切りの 
hegyek közt ,山中に 
családi élet ,家庭生活 
elfekvő,介護病院 
egyetemi tanár ,教授 
begombol,ボタンを締める 
milliméterpapír,方眼紙 
vontatóhajó,引き船
villódzik,ちかちか光る 
világítóudvar,吹き抜け 
viszlát,じゃあね 
átlátszó,茶番劇 
